id,human_readable_id,title,type,description,text_unit_ids,frequency,degree
bce09675-ca92-4c66-b9f7-9d2eab1e15ef,2484,태양광발전설비 개요,EVENT,"태양광발전설비 개요는 태양광 발전 시설의 전반적인 구성을 요약한 개요로, 설비의 핵심 사양과 설치 범위를 한눈에 파악할 수 있도록 설명한다. 이 개요에는 총 태양광 발전 용량, 인버터의 대수, 모듈의 구성 및 사양이 포함되며, 발전 설비가 어떤 규모와 방식으로 구성되어 있는지를 보여준다. 또한 태양광 모듈과 인버터를 중심으로 한 발전 시스템의 기본 구성뿐 아니라, 설치 범위까지 함께 다루어 해당 태양광발전설비가 어떤 조건과 구조로 운영되는지를 종합적으로 이해할 수 있게 한다.","['31a636686061c24d2cfa9434eb7c2849833f368e4ece48eafe4ff9da90f5a0dd16ee2bf78cfe84810cece575e4c26e9dcf11286e8b441c9588341ff46f6afa58'
 '4ece64191b77b8a3b85a93790072bbfc587210f0eee8fd3318a314d2decf2dd3d9b7fa80a2d6fcbbe1ad99ce7dd5d8d40a5f48429ece031092e7c8299b59f01f'
 'bf36f158ef7bfe7c8f596b7b93a1da41d3bcdd96f6be8e3754a00025cba312115fafd26a390f50bd23e74cc5d6347d5c1a9c25ae599f3d0b23dbba2a05f3d531']",3,31
7aeb274f-b5f2-450d-9c41-4fbba9b6d7c2,233,정면도,EVENT,"정면도는 건축 도면 세트에서 참조되는 전면 입면도이며, 건물의 정면 외관을 보여주는 도면이다. 이 정면도에는 건물 파사드의 모습과 함께 콘크리트 블록 패턴이 표현되어 있고, 1층부터 옥상층까지의 각 층 레벨이 표시되어 있다. 또한 소방관 접근창(fire fighter access window)과 관련된 세부 사항도 포함되어 있어, 외관 형상뿐 아니라 피난 및 소방 관련 요소까지 확인할 수 있는 도면이다.","['f8db7248021e80846985caa71f205b19e40d5e89a583960869f0a9415a6a56e8b7fbf0948358a53978dfa0ac3ce3cd3660964ec2a7cfb1daca391d4b8ec72175'
 '2b18a7121ccd4e6da19db37b7a9a1f3563999e4960da8632b55be138b61f683a7b5a2804ec40c82e956033c661eafd1ff59e7f52b611dfbd38bea684ce9d2283']",2,30
6fa387bb-5cc3-4459-ba6f-b21b4f8dacaa,1560,창 호 도 -5,EVENT,"A window schedule/drawing sheet labeled 창 호 도 -5, detailing window types, dimensions, materials, and locations for the building.",['ab21bc930531c322883dbd46b9c65e86fd34ce413048deeb47452684aa185d92387794c01925e9045ed5dae40d63014239ac23f4329ffa8ece54fe8a5e57fe41'],1,30
2124e94b-3711-46b3-973e-97051a9846d8,1986,지하 1층 위생 배관 평면도,EVENT,"지하 1층 위생 배관 평면도는 지하 주차장과 설비 공간을 대상으로 한 지하 1층의 위생 배관 및 배수 계획 도면이다. 이 도면은 지하 1층의 배관 배치와 배수 흐름을 보여 주며, 위생 설비의 설치와 시공을 위한 기준 정보를 제공한다. 또한 배관의 평면 구성뿐 아니라 관련 주기사항과 시공 상세가 포함되어 있어, 현장에서의 설치 작업과 공사 관리에 활용될 수 있는 도면이다.","['fdda621caf46defd241af92edc774429b0abb611a1bf86b588c17b1468b774e3b034b0be3c61de670e47f0ba391b335a928a32c3d0533aa2f9581252d8080780'
 '89633442fa04ef599b8f19bfb50ea78d638a888d3aea81e13eb8f93f67c2017dfbec02ad16ba47917a3016d1f19fe2e3b8811a250f5eca0155635c4f611cb501']",2,28
51090cdd-357d-4304-b40d-d5e8780ced4d,2570,태양광발전설비 계통도,EVENT,"A solar power generation facility system diagram showing the electrical layout, inverter connections, protection devices, monitoring PC, and power distribution elements for a photovoltaic installation",['bf36f158ef7bfe7c8f596b7b93a1da41d3bcdd96f6be8e3754a00025cba312115fafd26a390f50bd23e74cc5d6347d5c1a9c25ae599f3d0b23dbba2a05f3d531'],1,28
0e6f3307-1456-4ea8-b475-7657fc00ebf0,1427,횡 단 면 도 -1,EVENT,"횡 단 면 도 -1 is a cross-section architectural drawing sheet that presents the building’s vertical cut through the structure. It shows key floor levels, spatial relationships, boundaries, and construction assemblies, along with detailed construction elements and section-specific architectural information. The sheet serves as a technical reference for understanding how the spaces, structural components, and levels are arranged in section view.","['ae7902d07cbff2a25a54a1fc2398b050c40aeb4685f37c88f731863bc8052565104f4aa09ca3d64a7b7c6bb8823b3eeb8ad3586a8ec06b9ac35183f53fe05bb0'
 'ae7902d07cbff2a25a54a1fc2398b050c40aeb4685f37c88f731863bc8052565104f4aa09ca3d64a7b7c6bb8823b3eeb8ad3586a8ec06b9ac35183f53fe05bb0']",2,27
d9c4ff4e-ea91-401e-8bc5-5d627e38495e,2040,지상 4층 위생 배관 평면도,EVENT,"지상 4층 위생 배관 평면도는 건물 설비용 도면으로, 지상 4층의 위생 배관 배치를 종합적으로 보여주는 평면도이다. 이 도면에는 각 실의 배치와 함께 위생 배관의 경로, 배관 연결 상태, 관통부 상세, 치수, 단열 관련 사항, 그리고 시공을 위한 각종 주의사항과 설치 지침이 포함되어 있다. 또한 배관의 연결부와 시공 노트, 건축 및 설비 시공에 필요한 관련 상세 정보가 함께 제시되어 있어, 현장 시공자가 4층의 위생 설비를 정확하게 설치하고 검토할 수 있도록 구성된 도면이다.","['758edf72f0acdef6cf21abaf67719a2bab43f763f34378408d7be164ae3026c7aa2c35bceba64c0cbe528828b0adb8026d5e9037f453bee65d3875507819a2cb'
 '758edf72f0acdef6cf21abaf67719a2bab43f763f34378408d7be164ae3026c7aa2c35bceba64c0cbe528828b0adb8026d5e9037f453bee65d3875507819a2cb'
 '758edf72f0acdef6cf21abaf67719a2bab43f763f34378408d7be164ae3026c7aa2c35bceba64c0cbe528828b0adb8026d5e9037f453bee65d3875507819a2cb'
 'c98fc1778bb47fbc08fc495856a348beeb34ac02c74912b172b5ef5a5255398648b80b4839207022b787b48d5fe5f5093a589afa2a1b9f5d46624fb9c8afd69d'
 '9f102d4c911674c5305535887b0ae374bba7ff7239284746c1f6591482d9f5dc029077644d9d5e7b7500867531093771039c047a09960e00feeb7e23c0d853b6']",5,26
a316e810-0aae-4362-b094-ea240bf08e10,2100,디퓨져 일람표,EVENT,"디퓨져 일람표는 건물의 환기 시스템에 사용되는 디퓨저 정보를 정리한 표로, 각 디퓨저의 종류, 수량, 풍량, 크기, 그리고 배치되는 실과 구역 정보를 포함한다. 이 일람표는 상담실, 식당, 재활운동실 등 여러 공간별로 적합한 디퓨저 사양과 설치 수량을 한눈에 확인할 수 있도록 구성되어 있으며, 환기 성능과 공간별 공조 계획을 체계적으로 관리하기 위한 자료이다. 따라서 디퓨져 일람표는 환기 시스템의 설계 및 시공 과정에서 각 구역에 필요한 디퓨저 타입과 용량을 정확히 파악하는 데 사용되는 종합 정리표이다.","['c3cc8935e580ae25d037012aeffa94f464a482e50f964fdd04209af5b3331a4a3a6dc403839cc47ce3407a1f84a0b5f365b5b222f9f9057f55b4977bf32b0184'
 'c343ccc5555c45d917bb41b1a2137ac99b62d616f21bcf226b382cf5d11ea0ad1ae050f47b7470766b165cbe4a10a360e444f41828a9df0bf0a0be80c5a87f1d'
 '8328d1718f241b455fe80536a4b037acfe8292ff619cf1540e12aa156a946e68179130ebc9b0c22892d2144a5edb98bf893c238ffb502046e89b831002e2be18']",3,26
a32e76f5-db77-437e-ab23-7300adbbf8e5,586,84㎡ A형 단위세대,GEO,84㎡ A형 단위세대 is a specific apartment unit type/layout referenced in the mechanical and plumbing drawings,['b18e03a9493653c9848fb42a8148bd0a4077c3e797b15daa7653fa859ad27cd2a272281eebba43d1ab3790809807622aaf8c6c341c603c508503752080a0add1'],1,26
f8524689-f91e-416d-985e-3a95e64986ab,997,WATER SUPPLY AND HOT WATER PIPING DIAGRAM,EVENT,A building-wide schematic showing water supply and hot water piping connections across multiple floors and service areas,['bf881f5847e26e95e8699b30b0ad0b567241bfcacc1be28e68ec2c237ead785861c4dd3e108171c8edda973448edf9fbf5e62992bfebbf43912519846d2846d8'],1,26
d63c2752-bf04-4618-9839-c5c3015bb629,1413,종 단 면 도 -3,EVENT,"A longitudinal section drawing labeled as drawing number A-1 at scale 1/150, showing building levels, structural layers, and construction notes",['0b8d281347082a40b3251082eebb9eca5ec50c42f36e1e40041dd6b95812d44205beec073ea5cf813328dfc8a0e152a31bc6e2f2a508d819a3f29e5c252c1774'],1,26
6d8fc5e9-2aa2-45dc-9eb5-1d50f2871c2b,3431,공조덕트 계통도,EVENT,"The air duct system diagram page showing the HVAC duct layout, equipment, and duct sizes for the building)",['e79c85245a19a07b53e8462f76dece4cf3285d4a5c8cc7e45f55fe366bb183944f917708cdec492ecfeb6a91f4e20634030be9629786a27c688bd9d05bd97774'],1,26
